Cost Category,Cost Sub Category,Cost Item,Description,Cost,Source,Institution,Justification
Direct costs,Conferences and workshop organisation,Training and workshop delivery,"Organising and running the twelve-month programme for fifteen participants: five workshops (28 hours in total), the support hours between them, and the hands-on work taking each participant's dataset to a published FAIR data package. 15 places x CHF 2,000.",30000,FAIR Competence Funding,"ETH Zurich, Global Health Engineering, D-MAVT","Eligible as conferences and workshop organisation under footnote 4 of the call's budget annex. It is not a salary or personnel cost, which are not eligible; it is the cost of delivering the training service. The deliverable is fifteen trained researchers and fifteen published, citable data packages with DOIs."
Direct costs,Conferences and workshop organisation,Organisational change workshop: honorarium,"Full-day workshop on organisational change for open science, delivered by Greg Wilson, author of Organisational Change for Open Science. Scheduled between mid-September and early October 2027.",2500,FAIR Competence Funding,"ETH Zurich, Global Health Engineering, D-MAVT","Trains the applicants and the cohort together in the methods needed to embed FAIR practice in research groups. This is what turns a set of published data packages into a lasting change of practice, and the applicants carry the method into later cohorts and their Data Stewardship Network work. Placed late in the project so the cohort has published data packages to build the change work on."
Direct costs,Conferences and workshop organisation,Organisational change workshop: travel,Travel for the external instructor to Zurich.,1500,FAIR Competence Funding,"ETH Zurich, Global Health Engineering, D-MAVT",Required to deliver the full-day organisational change workshop on site. Travel is eligible under footnote 1 of the call's budget annex.
Direct costs,Conferences and workshop organisation,Organisational change workshop: accommodation,Three nights of accommodation in Zurich for the external instructor.,1000,FAIR Competence Funding,"ETH Zurich, Global Health Engineering, D-MAVT","Required to deliver the full-day workshop on site. Three nights covers arrival, the workshop day, and departure."
Direct costs,Conferences and workshop organisation,Venue: agentic AI workflows workshop,"Villa Hatt venue hire for the eight-hour agentic AI workflows workshop (full day).",1500,FAIR Competence Funding,"ETH Zurich, Global Health Engineering, D-MAVT","An off-site full-day venue suits the eight-hour hands-on format, where the cohort works on their own data for a full day. The three four-hour workshops are hosted at ETH Zurich at no venue cost."
Direct costs,Conferences and workshop organisation,Venue: organisational change workshop,Villa Hatt venue hire for the full-day organisational change workshop.,1500,FAIR Competence Funding,"ETH Zurich, Global Health Engineering, D-MAVT","A second full-day off-site booking for the cohort-wide organisational change workshop with the external instructor. Separate from the agentic AI workshop booking; the two are held at different points in the project."
Direct costs,Conferences and workshop organisation,Workshop catering,"Catering for all five workshops: 16 people x CHF 30 per workshop x 5 workshops.",2400,FAIR Competence Funding,"ETH Zurich, Global Health Engineering, D-MAVT","Catering keeps a cohort of fifteen participants plus instructors on site and working through each session, which the hands-on format depends on. Covers the two full-day Villa Hatt workshops and the three four-hour workshops at ETH."
Direct costs,Equipment,Software: agentic AI tool seats,"Claude Code seats for the cohort: 15 seats x 6 months x CHF 100 per seat per month.",9000,FAIR Competence Funding,"ETH Zurich, Global Health Engineering, D-MAVT","Central to the eight-hour agentic AI workflows workshop and the support work between sessions. Operating cost is covered only to the end of the project, as footnote 2 of the annex allows for a project tool. The ETH Library lists AI-powered tools and services, but agentic coding tools there are unsupported: not managed by the ID CCR Cloud Service Center, no cloud assessments in place, use at the researcher's own responsibility. This line therefore does not duplicate a supported ETH service, and the conditions attached to unsupported tools are themselves part of what the programme teaches."
Direct costs,Applicant training and education,Not requested,No costs requested under this category.,0,FAIR Competence Funding,"ETH Zurich, Global Health Engineering, D-MAVT","The applicants' competence development is delivered through the organisational change workshop and the agentic AI workflows work already budgeted under conferences and workshop organisation, so no separate training line is requested."
Direct costs,Travel,Not requested,No costs requested under this category.,0,FAIR Competence Funding,"ETH Zurich, Global Health Engineering, D-MAVT","The programme runs at ETH Zurich and Villa Hatt. The only travel in the project is the external instructor's, booked under conferences and workshop organisation."
Direct costs,Publications,Not requested,No costs requested under this category.,0,FAIR Competence Funding,"ETH Zurich, Global Health Engineering, D-MAVT","Data packages are published through Zenodo and the ETH Research Collection at no article processing charge. No open access publication costs are expected within the project."
Direct costs,Other,Not requested,No costs requested under this category.,0,FAIR Competence Funding,"ETH Zurich, Global Health Engineering, D-MAVT",No further costs are essential to the project beyond those listed above.
Subcontracting,Subcontracting,Not requested,No subcontracting costs.,0,FAIR Competence Funding,"ETH Zurich, Global Health Engineering, D-MAVT","No work is subcontracted. The programme is delivered by the Global Health Engineering Open Science Team, with the external instructor engaged on an honorarium rather than a subcontract."
